順位,管理No,合計スコア,センター
"1","TK090010","813","蒲田ＩＭＯＮボウル"
"2","TK130029","787","ＳＡＰ日野ボウル"
"3","CH040377","770","ときわ平 ボウリングセンター"
"4","NA030246","762","アストロボウル"
"5","GU010045","739","桐生スターレーン"
"6","YA010114","739","ダイトースターレーン双葉"
"7","KA040077","738","ムサシボウル"
"8","CH040394","738","ときわ平 ボウリングセンター"
"9","TK090024","737","蒲田ＩＭＯＮボウル"
"10","TC030192","736","宇都宮第二トーヨーボウル"
"11","KA010195","733","川崎グランドボウル"
"12","KA070073","729","アカフーボウル"
"13","TK090002","721","蒲田ＩＭＯＮボウル"
"14","KA020052","721","タチバナボウル"
"15","TK090139","721","蒲田ＩＭＯＮボウル"
"16","IB040119","720","スポーレボウル"
"17","CH010082","720","本八幡スターレーン"
"","CH010082","720","本八幡スターレーン"
"18","IB010019","719","勝田パークボウル"
"19","CH040083","717","ときわ平 ボウリングセンター"
"20","KA040059","716","ムサシボウル"
"21","CH040512","716","ときわ平 ボウリングセンター"
"22","TK150025","715","東京ポートボウル"
"23","KA070016","713","アカフーボウル"
"","KA070016","713","アカフーボウル"
"24","KA040542","713","ムサシボウル"
"","KA040542","713","ムサシボウル"
"25","CH040486","713","ときわ平 ボウリングセンター"
"26","GU030203","712","パークレーン高崎"
"27","KA070286","711","アカフーボウル"
"","KA070286","711","アカフーボウル"
"28","CH040406","710","ときわ平 ボウリングセンター"
"29","GU010011","708","桐生スターレーン"
"30","NA030055","707","アストロボウル"
"31","IB030040","705","神栖ボウル"
"32","KA040149","705","ムサシボウル"
"33","KA170060","703","伊勢原ボウリングセンター"
"34","KA160255","702","桜ヶ丘ボウリングセンター"
"35","TC010014","701","足利スターレーン"
"36","TK090052","698","蒲田ＩＭＯＮボウル"
"37","NA060128","698","ボウリング王国スポルト岡谷店"
"38","NA010122","698","新飯田オークラボウル"
"39","KA010131","697","川崎グランドボウル"
"40","KA160250","697","桜ヶ丘ボウリングセンター"
"","KA160250","697","桜ヶ丘ボウリングセンター"
"41","KA040029","696","ムサシボウル"
"42","KA130010","695","ボウリング王国 スポルト横須賀店"
"43","YA010057","690","ダイトースターレーン双葉"
"44","GU010019","690","桐生スターレーン"
"45","NA020064","690","アピナボウル松本城山店"
"46","GU010082","690","桐生スターレーン"
"47","CH040121","689","ときわ平 ボウリングセンター"
"48","NA030051","687","アストロボウル"
"49","CH040361","687","ときわ平 ボウリングセンター"
"50","NA030282","687","アストロボウル"
"51","TC030275","686","宇都宮第二トーヨーボウル"
"52","CH030015","684","富津スターレーン"
"53","KA040115","684","ムサシボウル"
"54","CH040429","683","ときわ平 ボウリングセンター"
"55","CH040425","682","ときわ平 ボウリングセンター"
"56","CH040240","681","ときわ平 ボウリングセンター"
"57","YA010065","680","ダイトースターレーン双葉"
"58","KA040032","679","ムサシボウル"
"59","IB010018","678","勝田パークボウル"
"60","TC030205","678","宇都宮第二トーヨーボウル"
"61","YA010115","678","ダイトースターレーン双葉"
"62","YA040018","678","都留ファミリーボウル"
"63","NA050071","678","アピナボウル長野篠ノ井店"
"64","NA030033","677","アストロボウル"
"65","KA150035","677","相模ファーストレーン"
"66","KA020001","674","タチバナボウル"
"67","CH030032","674","富津スターレーン"
"68","TC030274","674","宇都宮第二トーヨーボウル"
"69","NA030288","674","アストロボウル"
"70","CH040468","674","ときわ平 ボウリングセンター"
"71","CH010089","673","本八幡スターレーン"
"72","TK070035","672","練馬トーホーボール"
"73","CH010046","672","本八幡スターレーン"
"74","GU050124","672","ドリームスタジアム太田"
"75","KA020009","671","タチバナボウル"
"76","SA020010","671","所沢スターレーン"
"77","CH040273","671","ときわ平 ボウリングセンター"
"78","TC010062","670","足利スターレーン"
"79","CH040496","670","ときわ平 ボウリングセンター"
"80","NA010019","669","新飯田オークラボウル"
